droger
term|score|std|term frequency|document frequency
narkotika|0.666163|0.019205|577|216
alkohol|0.627770|0.037523|1584|430
narkotikamissbruk|0.553173|0.050957|60|50
tobak|0.509034|0.046043|351|128
narkotikapreparat|0.499542|0.047949|9|9
våldet|0.495183|0.026840|450|191
ungdomsvåldet|0.490843|0.046007|20|9
drogmissbruk|0.489330|0.045311|87|69
missbruket|0.486039|0.036372|165|122
attityder|0.484744|0.024593|370|309
kriminalitet|0.484685|0.029339|315|210
reklamen|0.481206|0.041563|136|87
internet|0.480543|0.024834|578|329
langning|0.477928|0.035534|32|23
drogpåverkade|0.477366|0.065295|4|3
narkotikamissbrukare|0.475938|0.040505|46|35
narkotikan|0.475200|0.057441|54|48
drogbruk|0.473406|0.033969|4|4
hivaids|0.470978|0.046157|199|70
missbrukare|0.470299|0.021697|328|181
skatt
term|score|std|term frequency|document frequency
avgift|0.695177|0.026608|589|348
skatten|0.672835|0.017513|647|274
beskattning|0.654438|0.022618|573|310
moms|0.632164|0.021164|358|186
inkomst|0.627719|0.016358|1125|660
fastighetsskatt|0.601924|0.029755|296|105
lön|0.582082|0.019242|870|532
kommunalskatt|0.559588|0.040970|43|30
ränta|0.558877|0.046169|201|125
momsen|0.557704|0.024164|128|82
pension|0.556411|0.033622|542|280
försäkring|0.555668|0.028773|459|267
ersättning|0.552571|0.017510|2655|1277
fordonsskatt|0.550908|0.036119|66|44
inkomstskatt|0.550456|0.029180|90|55
skatter|0.549668|0.034773|820|424
utdelning|0.546108|0.033036|190|128
statsskatt|0.542506|0.049216|16|13
skuld|0.540335|0.032812|171|128
avgifter|0.533532|0.026072|1355|752
säkerhet
term|score|std|term frequency|document frequency
tillgänglighet|0.628960|0.020604|1071|607
miljö|0.593562|0.036936|3030|1874
effektivitet|0.569111|0.025156|549|435
kapacitet|0.564276|0.029634|647|503
hälsa|0.558095|0.018082|2022|1079
trygghet|0.545379|0.020832|1724|1073
rättssäkerhet|0.543859|0.036179|278|203
arbetsmiljö|0.543813|0.031372|974|560
respekt|0.540945|0.038239|698|506
trovärdighet|0.539317|0.038085|165|126
rättigheter|0.524547|0.019882|3586|1326
säkerheten|0.510466|0.037837|418|307
förståelse|0.502614|0.030882|528|436
närvaro|0.502394|0.036826|233|151
kompetens|0.496986|0.019522|3834|2281
kunskap|0.496219|0.022727|3802|2307
fred|0.492752|0.018832|585|208
kvalitet|0.491295|0.036368|2518|1467
trafiksäkerhet|0.489761|0.028784|365|254
frihet|0.489759|0.025901|751|531
trygghet
term|score|std|term frequency|document frequency
delaktighet|0.628412|0.028814|567|433
tryggheten|0.611243|0.036364|366|265
otrygghet|0.596045|0.025918|245|203
frihet|0.595886|0.020844|751|531
välfärd|0.578284|0.025105|1000|618
gemenskap|0.558676|0.015710|285|247
rättvisa|0.552763|0.025121|791|536
valfrihet|0.552523|0.018406|386|257
anställningstrygghet|0.547089|0.020632|103|72
säkerhet|0.545379|0.020832|1674|968
legitimitet|0.541617|0.026836|158|134
arbetsmiljö|0.538941|0.023670|974|560
rättssäkerhet|0.538159|0.032780|278|203
stabilitet|0.534731|0.033283|210|162
trygga|0.534506|0.018609|741|585
förtroende|0.532561|0.026533|417|340
livskvalitet|0.525957|0.036161|344|280
hälsa|0.521873|0.018717|2022|1079
självkänsla|0.506960|0.031140|106|100
sysselsättning|0.506885|0.022189|2059|1204
brott
term|score|std|term frequency|document frequency
övergrepp|0.730043|0.023089|907|365
våldsbrott|0.710394|0.019785|179|123
brottet|0.693326|0.021452|244|160
brotten|0.682324|0.022023|141|103
sexualbrott|0.676245|0.031286|151|70
våldet|0.657361|0.024361|450|191
våld|0.655294|0.022871|2407|698
förseelser|0.615660|0.021467|47|39
brottsoffer|0.598992|0.024523|234|115
kränkningar|0.596418|0.016102|250|155
våldtäkt|0.593815|0.036052|213|109
