droger
term|score|std|term frequency|document frequency
narkotika|0.605341|0.052115|325|129
internet|0.534055|0.022874|354|196
tobak|0.488268|0.037559|178|74
kriminalitet|0.487270|0.029738|199|125
illegala|0.479897|0.033461|386|211
brott|0.477227|0.023925|3391|1165
missbruk|0.471497|0.037843|355|209
organiserade|0.471250|0.038237|404|247
kriminella|0.466108|0.031346|959|443
ungdomar|0.461163|0.054215|1565|776
brottsligheten|0.457661|0.058127|397|282
alkohol|0.457019|0.042075|502|278
cigaretter|0.455292|0.047061|125|38
skjutvapen|0.448979|0.061091|98|48
mobbning|0.442123|0.061654|117|54
förekomsten|0.440803|0.051265|247|211
vapen|0.438094|0.041328|754|229
livsmedelsbedrägerier|0.435082|0.047595|6|4
våld|0.435063|0.028121|1556|467
stöldligor|0.432993|0.053827|58|45
skatt
term|score|std|term frequency|document frequency
skatten|0.642616|0.013994|571|345
skatter|0.605019|0.031437|798|538
moms|0.587264|0.030989|314|169
avgift|0.569367|0.036022|347|218
inkomstskatt|0.565741|0.030479|58|46
arbetsgivaravgift|0.559549|0.040796|50|43
avgifter|0.557953|0.027952|580|403
beskattning|0.551097|0.023265|244|183
betalar|0.527878|0.032058|984|638
skatterna|0.527713|0.029039|279|200
lön|0.524619|0.025356|276|211
pension|0.510566|0.030341|189|128
inkomst|0.502448|0.035333|459|309
momsen|0.497446|0.052597|133|94
arbetsgivaravgiften|0.485838|0.035376|176|94
kostnad|0.484939|0.036465|403|355
löntagare|0.484856|0.043023|146|99
energiskatt|0.475249|0.032648|21|18
priset|0.474570|0.051738|185|153
utsläpp|0.474417|0.025677|612|291
säkerhet
term|score|std|term frequency|document frequency
hälsa|0.608314|0.021460|1003|595
trygghet|0.605453|0.032876|888|661
beredskap|0.596747|0.018488|362|205
förmåga|0.590478|0.016873|1061|642
miljön|0.589271|0.023767|467|373
ekonomi|0.589127|0.039566|575|450
miljö|0.584823|0.031857|612|459
tillgänglighet|0.574348|0.039844|512|335
infrastruktur|0.565059|0.030437|711|416
konkurrenskraft|0.563594|0.036261|769|484
försvar|0.560700|0.028612|215|135
rättssäkerhet|0.558875|0.025682|127|108
säkerheten|0.553684|0.031937|338|270
effektivitet|0.550084|0.036595|265|213
utveckling|0.542616|0.019704|2959|1835
kvalitet|0.536085|0.037644|1400|702
rättigheter|0.532034|0.021909|1333|583
välfärd|0.527860|0.033764|298|240
kunskap|0.523370|0.022214|1767|1174
ytterst|0.523027|0.017700|565|501
trygghet
term|score|std|term frequency|document frequency
frihet|0.657301|0.028898|609|443
otrygghet|0.606351|0.028263|205|180
säkerhet|0.605453|0.032876|927|610
tryggheten|0.599792|0.030034|322|255
gemenskap|0.571345|0.021289|117|94
hälsa|0.568906|0.014121|1003|595
rörlighet|0.564683|0.024940|247|191
delaktighet|0.563505|0.037724|194|153
tillgänglighet|0.559965|0.024728|512|335
välfärd|0.558547|0.026805|298|240
kontinuitet|0.558177|0.039160|204|116
förutsättningar|0.553715|0.016384|3611|2061
kunskap|0.546043|0.028094|1767|1174
miljö|0.545389|0.035310|612|459
tillit|0.542244|0.032287|109|91
stabilitet|0.536000|0.045998|141|104
vardag|0.535303|0.035272|220|191
möjligheter|0.530110|0.011198|4629|2664
förtroende|0.523762|0.026265|307|238
samhället|0.522600|0.024285|2889|1850
brott
term|score|std|term frequency|document frequency
brottet|0.748371|0.015367|415|250
sexualbrott|0.713430|0.027111|220|85
brotten|0.702990|0.028751|218|147
våld|0.699720|0.017407|1556|467
övergrepp|0.694535|0.021216|314|179
brottslighet|0.689996|0.021468|825|417
barn|0.681299|0.020456|6465|1531
handlingar|0.658492|0.039752|216|159
polisen|0.657888|0.024578|2164|852
straff|0.640796|0.019870|568|353
poliser|0.631283|0.020846|947|284
våldsbrott|0.625962|0.036117|103|89
ärenden|0.625595|0.030290|437|292
brottsligheten|0.625348|0.037471|397|282
djur|0.624104|0.025946|791|391
personer|0.610591|0.026955|5481|2557
vapen|0.609695|0.031643|754|229
våldtäkt|0.604509|0.040133|206|78
bedrägerier|0.604463|0.044609|82|64
åtgärder|0.603377|0.029171|3965|2052
brottslighet
term|score|std|term frequency|document frequency
brott|0.689996|0.021468|3391|1165
brottsligheten|0.687665|0.034834|397|282
kriminalitet|0.661912|0.029944|199|125
bedrägerier|0.638842|0.059093|82|64
brottet|0.597762|0.019279|415|250
grova|0.573105|0.038385|488|282
brotten|0.561669|0.030002|218|147
verksamhet|0.559540|0.028503|2954|1754
polisen|0.554541|0.023514|2164|852
terrorism|0.551402|0.041221|239|93
gängkriminalitet|0.539658|0.026192|70|43
övergrepp|0.531411|0.021519|314|179
våldsbrottslighet|0.525083|0.034377|9|9
kriminalvården|0.515234|0.034207|48|38
sexualbrott|0.514981|0.028101|220|85
fusk|0.514867|0.040831|218|169
kriminaliteten|0.511350|0.064334|57|45
polis|0.510797|0.035905|635|352
våld|0.509424|0.022381|1556|467
grov|0.508935|0.022684|479|237
kriminalitet
term|score|std|term frequency|document frequency
brottslighet|0.661912|0.029944|825|417
missbruk|0.601522|0.016113|355|209
kriminaliteten|0.569856|0.041175|57|45
kriminella|0.538075|0.029297|959|443
grova|0.531439|0.031362|488|282
brottsligheten|0.528072|0.047462|397|282
gängkriminalitet|0.522157|0.035626|70|43
utanförskap|0.517539|0.038052|457|301
brott|0.513105|0.023915|3391|1165
narkotika|0.512310|0.039203|325|129
gängkriminaliteten|0.499888|0.047657|48|27
bedrägerier|0.494765|0.044432|82|64
droger|0.487270|0.029738|196|93
ungdomar|0.486271|0.035160|1565|776
utsatthet|0.470259|0.037696|103|94
unga|0.461787|0.029126|3464|1259
skuldsättning|0.460394|0.045031|82|61
alkoholmissbruk|0.459441|0.053681|3|3
