droger
term|score|std|term frequency|document frequency
narkotika|0.563151|0.017596|325|129
tobaksrök|0.491527|0.024797|1|1
kriminalitet|0.485144|0.016536|199|125
internet|0.468187|0.027002|354|196
dopningspreparat|0.448332|0.042295|11|4
alkohol|0.440140|0.044096|502|278
parfym|0.431713|0.051492|1|1
smittämnen|0.430394|0.031897|2|2
narkotikamissbruket|0.429236|0.048848|6|3
mobbning|0.428948|0.032474|117|54
tobak|0.428610|0.045141|178|74
langning|0.425783|0.038311|5|5
substanser|0.425599|0.044966|111|58
ballistiska|0.419372|0.027450|1|1
skildringar|0.419103|0.060192|1|1
missbruk|0.415878|0.027403|355|209
beteendestörningar|0.415205|0.063854|7|3
bildelar|0.413863|0.036001|5|5
hot|0.413377|0.029334|1219|740
konsumentkreditgivare|0.408916|0.053166|3|3
skatt
term|score|std|term frequency|document frequency
inkomstskatt|0.618077|0.024422|58|46
skatten|0.609324|0.035465|571|345
avgift|0.604819|0.032570|347|218
källskatt|0.586388|0.034024|3|3
arbetsgivaravgift|0.571824|0.039850|50|43
energiskatt|0.566963|0.029796|21|18
fastighetsskatt|0.558865|0.045061|20|18
reklamskatt|0.555438|0.035838|8|6
tilläggsavgift|0.549926|0.016479|5|2
avkastningsskatt|0.544887|0.026989|1|1
beskattning|0.544112|0.027064|244|183
tilläggsskatt|0.530721|0.035526|2|2
elförbrukning|0.527232|0.038325|12|11
schablonintäkt|0.526781|0.022888|2|1
fordonsskatt|0.523729|0.010908|22|15
dröjsmålsränta|0.522495|0.016729|1|1
kommunalskatt|0.521597|0.036272|25|20
rabatt|0.521288|0.041239|8|8
ålderspensionsavgiften|0.514349|0.022759|2|2
lön|0.512602|0.023168|276|211
säkerhet
term|score|std|term frequency|document frequency
konkurrenskraft|0.536642|0.018994|769|484
försvar|0.482402|0.030533|215|135
rättssäkerhet|0.481435|0.038651|127|108
funktionalitet|0.462088|0.025948|20|17
försvarsförmåga|0.461339|0.019593|104|62
ekonomi|0.461133|0.028661|575|450
motståndskraft|0.452610|0.030955|30|29
stabilitet|0.450826|0.045304|141|104
trygghet|0.448854|0.025303|888|661
förmåga|0.447013|0.024314|1061|642
handlingsförmåga|0.446892|0.037504|1|1
suveränitet|0.442440|0.049839|9|9
självbestämmanderätt|0.433775|0.047009|1|1
integritet|0.431621|0.046825|207|152
vinståterbetalningar|0.430560|0.024875|4|4
