droger
term|score|std|term frequency|document frequency
dopningsmedel|0.596251|0.039768|6|4
amfetamin|0.538828|0.057753|7|7
bensodiazepiner|0.527751|0.034358|2|2
anabola|0.525688|0.032190|1|1
kokain|0.524800|0.054568|5|4
alkohol|0.520913|0.038080|277|126
riskbeteenden|0.511816|0.059764|1|1
cannabis|0.511356|0.091466|21|5
tillhyggen|0.505966|0.041664|1|1
injektionsmissbruk|0.497615|0.029876|1|1
alkoholhanteringen|0.497514|0.043419|1|1
substanser|0.489915|0.039052|20|12
tabletter|0.487814|0.062470|2|2
infektioner|0.486069|0.026300|25|25
narkotika|0.484791|0.045885|106|50
narkotikamissbruk|0.481822|0.038152|7|7
desinfektionsmedel|0.480183|0.027878|1|1
bakterier|0.475871|0.034600|24|21
mjukgörare|0.474255|0.104574|1|1
preparat|0.472877|0.041013|72|27
skatt
term|score|std|term frequency|document frequency
källskatt|0.627127|0.021492|1|1
punktskatt|0.578781|0.021798|3|3
mervärdesskatten|0.559856|0.026214|4|2
mervärdesskatt|0.550207|0.022621|3|3
skattesats|0.548931|0.034608|5|3
bolagsskatt|0.547348|0.061458|7|3
moms|0.533918|0.049697|64|35
utdelning|0.530954|0.032894|26|23
preliminärskatt|0.530237|0.045973|1|1
skattehöjning|0.526873|0.051938|1|1
skatten|0.518233|0.030507|136|90
tilläggsavgift|0.508511|0.034242|2|2
försäkringspremier|0.505406|0.043928|2|2
premie|0.497705|0.045248|15|14
beskattning|0.491899|0.032140|125|87
avgift|0.485159|0.038440|157|114
årsavgift|0.484893|0.029638|2|1
inkomstskatt|0.483259|0.033630|8|8
fordonsskatt|0.479788|0.028512|8|7
egenavgifter|0.475754|0.035982|7|7
säkerhet
term|score|std|term frequency|document frequency
kärnsäkerhet|0.491702|0.033196|1|1
strålskydd|0.475364|0.033915|1|1
etik|0.460772|0.033000|9|9
försvarsförmåga|0.455234|0.048339|1|1
rättskipning|0.450657|0.039172|3|3
skogstillväxt|0.448925|0.038479|4|3
leveranssäkerhet|0.444494|0.042308|13|12
försäkringsstandard|0.444293|0.028127|4|4
miljö|0.432201|0.042961|440|352
sjösäkerhet|0.426493|0.064596|4|4
arbetsmiljö|0.424735|0.033780|334|209
medeltemperaturer|0.423371|0.050952|2|2
krishanteringsförmåga|0.421728|0.055257|8|5
